Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;IRIS ;270887;1;20091112;20091112;09000538 - 1;9046200;7010;IMMOBILIERE 3F                        ;09000538;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270888;1;20091112;20091112;09000726 - 1;12483500;7616;SA D HABITATION A LOYER MODERE TROIS  ;09000726;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270889;1;20091112;20091112;09000766 - 1;10393700;7616;SA D HABITATION A LOYER MODERE TROIS  ;09000766;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270890;1;20091112;20091112;09000857 - 1;34877300;7010;IMMOBILIERE 3F                        ;09000857;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270891;1;20091112;20091112;09000867 - 1;10224300;7010;IMMOBILIERE 3F                        ;09000867;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270892;1;20091112;20091112;09001081 - 1;80009900;7006;OPH 94 VALOPHIS HABITAT OFFICE        ;09001081;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270893;1;20091112;20091112;09001270 - 1;14227300;7010;IMMOBILIERE 3F                        ;09001270;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270894;1;20091112;20091112;09001275 - 1;8577600;7010;IMMOBILIERE 3F                        ;09001275;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270895;1;20091112;20091112;09001280 - 1;72993400;1767;EFIDIS SA HABITATION LOYER MODERE     ;09001280;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270896;1;20091112;20091112;09001830 - 1;3628700;1786;OPH DE VILLEMOMBLE                    ;09001830;LO                  ;15400202            ;Aide à la création de logements locatifs sociaux
2009;IRIS ;270897;1;20091112;20091112;09001831 - 1;2067300;1786;OPH DE VILLEMOMBLE                    ;09001831;LO                  ;15400203            ;Aide à la création de logements locatifs très sociaux
2009;IRIS ;270903;1;20091112;20091112;09000263 - 1;126270000;6846;RIVP REGIE IMMO VILLE PARIS           ;09000263;LO                  ;15400501            ;Logements des étudiants
2009;IRIS ;270904;1;20091112;20091112;09001639 - 1;125050000;6846;RIVP REGIE IMMO VILLE PARIS           ;09001639;LO                  ;15400501            ;Logements des étudiants
2009;IRIS ;270905;1;20091112;20091112;09001651 - 1;138545500;6848;SEMIDEP SOC ECONOMIE MIXTE IMMOB      ;09001651;LO                  ;15400501            ;Logements des étudiants
2009;IRIS ;270906;1;20091112;20091112;09001662 - 1;2152500;33231;RESIDETAPES DEVELOPPEMENT             ;09001662;LO                  ;15400502            ;Logements des jeunes et des apprentis
2009;IRIS ;270907;1;20091112;20091112;09001664 - 1;523300;8628;PSTI  PROMOTION SOCIALE TRAVAIL ET    ;09001664;LO                  ;15400502            ;Logements des jeunes et des apprentis
